127.0.0.1 - - [29/Jan/2024:15:28:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:28:31 +0530] "GET /UserMvcApp/ HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:28:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:28:55 +0530] "GET /UserMvcApp/open-register HTTP/1.1" 500 6438
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:29:57 +0530] "GET /UserMvcApp/ HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:30:00 +0530] "GET /UserMvcApp/open-register HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:30:14 +0530] "POST /UserMvcApp/register HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:31:25 +0530] "POST /UserMvcApp/register HTTP/1.1" 500 15593
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:31:46 +0530] "POST /UserMvcApp/register HTTP/1.1" 500 15593
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:31:52 +0530] "GET /UserMvcApp/open-register HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:32:02 +0530] "POST /UserMvcApp/register HTTP/1.1" 500 15593
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:32:24 +0530] "POST /UserMvcApp/register HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:32:37 +0530] "GET /UserMvcApp/open-view?view=findById HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:32:42 +0530] "GET /UserMvcApp/find-by-id?id=5 HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:34:30 +0530] "GET /UserMvcApp/find-by-id?id=5 HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:34:31 +0530] "GET /UserMvcApp/find-by-id?id=5 HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:34:35 +0530] "GET /UserMvcApp/find-by-id?id=5 HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:34:38 +0530] "GET /UserMvcApp/open-view?view=findById HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:34:44 +0530] "GET /UserMvcApp/find-by-id?id=5 HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:35:49 +0530] "GET /UserMvcApp/open-update HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:36:10 +0530] "POST /UserMvcApp/update HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:40:23 +0530] "GET /UserMvcApp/ HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:40:41 +0530] "GET /UserMvcApp/open-view?view=findById HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:40:48 +0530] "GET /UserMvcApp/find-by-id?id=5 HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [29/Jan/2024:15:40:58 +0530] "GET /UserMvcApp/find-by-id?id=455 HTTP/1.1" 200 158
